stride = 25, sequence_len = 50, ratio = 0.2, data.shape = (2608, 5, 50, 15, 3), training_len = 521
stride = 25, sequence_len = 50, ratio = 0.57, data.shape = (2608, 5, 50, 15, 3), training_len = 1486
stride = 25, sequence_len = 50, ratio = 0.58, data.shape = (2608, 5, 50, 15, 3), training_len = 1512
stride = 25, sequence_len = 50, ratio = 0.59, data.shape = (2608, 5, 50, 15, 3), training_len = 1538
stride = 25, sequence_len = 50, ratio = 0.6, data.shape = (2608, 5, 50, 15, 3), training_len = 1564
stride = 25, sequence_len = 50, ratio = 0.61, data.shape = (2608, 5, 50, 15, 3), training_len = 1590
stride = 25, sequence_len = 50, ratio = 0.62, data.shape = (2608, 5, 50, 15, 3), training_len = 1616
stride = 25, sequence_len = 50, ratio = 0.63, data.shape = (2608, 5, 50, 15, 3), training_len = 1643
stride = 25, sequence_len = 50, ratio = 0.64, data.shape = (2608, 5, 50, 15, 3), training_len = 1669
stride = 25, sequence_len = 50, ratio = 0.65, data.shape = (2608, 5, 50, 15, 3), training_len = 1695
stride = 25, sequence_len = 50, ratio = 0.66, data.shape = (2608, 5, 50, 15, 3), training_len = 1721
stride = 25, sequence_len = 50, ratio = 0.67, data.shape = (2608, 5, 50, 15, 3), training_len = 1747
stride = 25, sequence_len = 50, ratio = 0.68, data.shape = (2608, 5, 50, 15, 3), training_len = 1773
stride = 25, sequence_len = 50, ratio = 0.69, data.shape = (2608, 5, 50, 15, 3), training_len = 1799
stride = 25, sequence_len = 50, ratio = 0.7, data.shape = (2608, 5, 50, 15, 3), training_len = 1825
stride = 25, sequence_len = 50, ratio = 0.71, data.shape = (2608, 5, 50, 15, 3), training_len = 1851
stride = 25, sequence_len = 50, ratio = 0.72, data.shape = (2608, 5, 50, 15, 3), training_len = 1877
stride = 25, sequence_len = 50, ratio = 0.73, data.shape = (2608, 5, 50, 15, 3), training_len = 1903
stride = 25, sequence_len = 50, ratio = 0.74, data.shape = (2608, 5, 50, 15, 3), training_len = 1929
stride = 25, sequence_len = 50, ratio = 0.75, data.shape = (2608, 5, 50, 15, 3), training_len = 1956
stride = 25, sequence_len = 50, ratio = 0.76, data.shape = (2608, 5, 50, 15, 3), training_len = 1982
stride = 25, sequence_len = 50, ratio = 0.77, data.shape = (2608, 5, 50, 15, 3), training_len = 2008
stride = 25, sequence_len = 50, ratio = 0.78, data.shape = (2608, 5, 50, 15, 3), training_len = 2034
stride = 25, sequence_len = 50, ratio = 0.79, data.shape = (2608, 5, 50, 15, 3), training_len = 2060
stride = 25, sequence_len = 50, ratio = 0.8, data.shape = (2608, 5, 50, 15, 3), training_len = 2086
stride = 25, sequence_len = 50, ratio = 0.81, data.shape = (2608, 5, 50, 15, 3), training_len = 2112
stride = 25, sequence_len = 50, ratio = 0.82, data.shape = (2608, 5, 50, 15, 3), training_len = 2138
stride = 25, sequence_len = 50, ratio = 0.83, data.shape = (2608, 5, 50, 15, 3), training_len = 2164
stride = 25, sequence_len = 50, ratio = 0.84, data.shape = (2608, 5, 50, 15, 3), training_len = 2190
stride = 25, sequence_len = 50, ratio = 0.85, data.shape = (2608, 5, 50, 15, 3), training_len = 2216
stride = 25, sequence_len = 50, ratio = 0.86, data.shape = (2608, 5, 50, 15, 3), training_len = 2242
stride = 25, sequence_len = 50, ratio = 0.87, data.shape = (2608, 5, 50, 15, 3), training_len = 2268
stride = 25, sequence_len = 50, ratio = 0.88, data.shape = (2608, 5, 50, 15, 3), training_len = 2295
stride = 25, sequence_len = 50, ratio = 0.89, data.shape = (2608, 5, 50, 15, 3), training_len = 2321
stride = 25, sequence_len = 50, ratio = 0.9, data.shape = (2608, 5, 50, 15, 3), training_len = 2347
stride = 25, sequence_len = 50, ratio = 0.91, data.shape = (2608, 5, 50, 15, 3), training_len = 2373
stride = 25, sequence_len = 50, ratio = 0.92, data.shape = (2608, 5, 50, 15, 3), training_len = 2399
stride = 25, sequence_len = 50, ratio = 0.93, data.shape = (2608, 5, 50, 15, 3), training_len = 2425
stride = 25, sequence_len = 50, ratio = 0.94, data.shape = (2608, 5, 50, 15, 3), training_len = 2451
stride = 25, sequence_len = 50, ratio = 0.95, data.shape = (2608, 5, 50, 15, 3), training_len = 2477
stride = 25, sequence_len = 50, ratio = 0.96, data.shape = (2608, 5, 50, 15, 3), training_len = 2503
stride = 25, sequence_len = 50, ratio = 0.97, data.shape = (2608, 5, 50, 15, 3), training_len = 2529
stride = 25, sequence_len = 50, ratio = 0.98, data.shape = (2608, 5, 50, 15, 3), training_len = 2555
stride = 25, sequence_len = 50, ratio = 0.99, data.shape = (2608, 5, 50, 15, 3), training_len = 2581
stride = 25, sequence_len = 75, ratio = 0.2, data.shape = (1991, 5, 75, 15, 3), training_len = 398
stride = 25, sequence_len = 75, ratio = 0.21, data.shape = (1991, 5, 75, 15, 3), training_len = 418
stride = 25, sequence_len = 75, ratio = 0.22, data.shape = (1991, 5, 75, 15, 3), training_len = 438
stride = 25, sequence_len = 75, ratio = 0.23, data.shape = (1991, 5, 75, 15, 3), training_len = 457
stride = 25, sequence_len = 75, ratio = 0.24, data.shape = (1991, 5, 75, 15, 3), training_len = 477
stride = 25, sequence_len = 75, ratio = 0.25, data.shape = (1991, 5, 75, 15, 3), training_len = 497
stride = 25, sequence_len = 75, ratio = 0.26, data.shape = (1991, 5, 75, 15, 3), training_len = 517
stride = 25, sequence_len = 75, ratio = 0.27, data.shape = (1991, 5, 75, 15, 3), training_len = 537
stride = 25, sequence_len = 75, ratio = 0.28, data.shape = (1991, 5, 75, 15, 3), training_len = 557
stride = 25, sequence_len = 75, ratio = 0.29, data.shape = (1991, 5, 75, 15, 3), training_len = 577
stride = 25, sequence_len = 75, ratio = 0.3, data.shape = (1991, 5, 75, 15, 3), training_len = 597
stride = 25, sequence_len = 75, ratio = 0.31, data.shape = (1991, 5, 75, 15, 3), training_len = 617
stride = 25, sequence_len = 75, ratio = 0.32, data.shape = (1991, 5, 75, 15, 3), training_len = 637
stride = 25, sequence_len = 75, ratio = 0.33, data.shape = (1991, 5, 75, 15, 3), training_len = 657
stride = 25, sequence_len = 75, ratio = 0.34, data.shape = (1991, 5, 75, 15, 3), training_len = 676
stride = 25, sequence_len = 75, ratio = 0.35, data.shape = (1991, 5, 75, 15, 3), training_len = 696
stride = 25, sequence_len = 75, ratio = 0.36, data.shape = (1991, 5, 75, 15, 3), training_len = 716
stride = 25, sequence_len = 75, ratio = 0.37, data.shape = (1991, 5, 75, 15, 3), training_len = 736
stride = 25, sequence_len = 75, ratio = 0.38, data.shape = (1991, 5, 75, 15, 3), training_len = 756
stride = 25, sequence_len = 75, ratio = 0.39, data.shape = (1991, 5, 75, 15, 3), training_len = 776
stride = 25, sequence_len = 75, ratio = 0.4, data.shape = (1991, 5, 75, 15, 3), training_len = 796
stride = 25, sequence_len = 75, ratio = 0.41, data.shape = (1991, 5, 75, 15, 3), training_len = 816
stride = 25, sequence_len = 75, ratio = 0.42, data.shape = (1991, 5, 75, 15, 3), training_len = 836
stride = 25, sequence_len = 75, ratio = 0.43, data.shape = (1991, 5, 75, 15, 3), training_len = 856
stride = 25, sequence_len = 75, ratio = 0.44, data.shape = (1991, 5, 75, 15, 3), training_len = 876
stride = 25, sequence_len = 75, ratio = 0.45, data.shape = (1991, 5, 75, 15, 3), training_len = 895
stride = 25, sequence_len = 75, ratio = 0.46, data.shape = (1991, 5, 75, 15, 3), training_len = 915
stride = 25, sequence_len = 75, ratio = 0.47, data.shape = (1991, 5, 75, 15, 3), training_len = 935
stride = 25, sequence_len = 75, ratio = 0.48, data.shape = (1991, 5, 75, 15, 3), training_len = 955
stride = 25, sequence_len = 75, ratio = 0.49, data.shape = (1991, 5, 75, 15, 3), training_len = 975
stride = 25, sequence_len = 75, ratio = 0.5, data.shape = (1991, 5, 75, 15, 3), training_len = 995
stride = 25, sequence_len = 75, ratio = 0.51, data.shape = (1991, 5, 75, 15, 3), training_len = 1015
stride = 25, sequence_len = 75, ratio = 0.52, data.shape = (1991, 5, 75, 15, 3), training_len = 1035
stride = 25, sequence_len = 75, ratio = 0.53, data.shape = (1991, 5, 75, 15, 3), training_len = 1055
stride = 25, sequence_len = 75, ratio = 0.54, data.shape = (1991, 5, 75, 15, 3), training_len = 1075
stride = 25, sequence_len = 75, ratio = 0.55, data.shape = (1991, 5, 75, 15, 3), training_len = 1095
stride = 25, sequence_len = 75, ratio = 0.56, data.shape = (1991, 5, 75, 15, 3), training_len = 1114
stride = 25, sequence_len = 75, ratio = 0.57, data.shape = (1991, 5, 75, 15, 3), training_len = 1134
stride = 25, sequence_len = 75, ratio = 0.58, data.shape = (1991, 5, 75, 15, 3), training_len = 1154
stride = 25, sequence_len = 75, ratio = 0.59, data.shape = (1991, 5, 75, 15, 3), training_len = 1174
stride = 25, sequence_len = 75, ratio = 0.6, data.shape = (1991, 5, 75, 15, 3), training_len = 1194
stride = 25, sequence_len = 75, ratio = 0.61, data.shape = (1991, 5, 75, 15, 3), training_len = 1214
stride = 25, sequence_len = 75, ratio = 0.62, data.shape = (1991, 5, 75, 15, 3), training_len = 1234
stride = 25, sequence_len = 75, ratio = 0.63, data.shape = (1991, 5, 75, 15, 3), training_len = 1254
stride = 25, sequence_len = 75, ratio = 0.64, data.shape = (1991, 5, 75, 15, 3), training_len = 1274
stride = 25, sequence_len = 75, ratio = 0.65, data.shape = (1991, 5, 75, 15, 3), training_len = 1294
stride = 25, sequence_len = 75, ratio = 0.66, data.shape = (1991, 5, 75, 15, 3), training_len = 1314
stride = 25, sequence_len = 75, ratio = 0.67, data.shape = (1991, 5, 75, 15, 3), training_len = 1333
stride = 25, sequence_len = 75, ratio = 0.68, data.shape = (1991, 5, 75, 15, 3), training_len = 1353
stride = 25, sequence_len = 75, ratio = 0.69, data.shape = (1991, 5, 75, 15, 3), training_len = 1373
stride = 25, sequence_len = 75, ratio = 0.7, data.shape = (1991, 5, 75, 15, 3), training_len = 1393
stride = 25, sequence_len = 75, ratio = 0.71, data.shape = (1991, 5, 75, 15, 3), training_len = 1413
stride = 25, sequence_len = 75, ratio = 0.72, data.shape = (1991, 5, 75, 15, 3), training_len = 1433
stride = 25, sequence_len = 75, ratio = 0.73, data.shape = (1991, 5, 75, 15, 3), training_len = 1453
stride = 25, sequence_len = 75, ratio = 0.74, data.shape = (1991, 5, 75, 15, 3), training_len = 1473
stride = 25, sequence_len = 75, ratio = 0.75, data.shape = (1991, 5, 75, 15, 3), training_len = 1493
stride = 25, sequence_len = 75, ratio = 0.76, data.shape = (1991, 5, 75, 15, 3), training_len = 1513
stride = 25, sequence_len = 75, ratio = 0.77, data.shape = (1991, 5, 75, 15, 3), training_len = 1533
stride = 25, sequence_len = 75, ratio = 0.78, data.shape = (1991, 5, 75, 15, 3), training_len = 1552
stride = 25, sequence_len = 75, ratio = 0.79, data.shape = (1991, 5, 75, 15, 3), training_len = 1572
stride = 25, sequence_len = 75, ratio = 0.8, data.shape = (1991, 5, 75, 15, 3), training_len = 1592
stride = 25, sequence_len = 75, ratio = 0.81, data.shape = (1991, 5, 75, 15, 3), training_len = 1612
stride = 25, sequence_len = 75, ratio = 0.82, data.shape = (1991, 5, 75, 15, 3), training_len = 1632
stride = 25, sequence_len = 75, ratio = 0.83, data.shape = (1991, 5, 75, 15, 3), training_len = 1652
stride = 25, sequence_len = 75, ratio = 0.84, data.shape = (1991, 5, 75, 15, 3), training_len = 1672
stride = 25, sequence_len = 75, ratio = 0.85, data.shape = (1991, 5, 75, 15, 3), training_len = 1692
stride = 25, sequence_len = 75, ratio = 0.86, data.shape = (1991, 5, 75, 15, 3), training_len = 1712
stride = 25, sequence_len = 75, ratio = 0.87, data.shape = (1991, 5, 75, 15, 3), training_len = 1732
stride = 25, sequence_len = 75, ratio = 0.88, data.shape = (1991, 5, 75, 15, 3), training_len = 1752
stride = 25, sequence_len = 75, ratio = 0.89, data.shape = (1991, 5, 75, 15, 3), training_len = 1771
stride = 25, sequence_len = 75, ratio = 0.9, data.shape = (1991, 5, 75, 15, 3), training_len = 1791
stride = 25, sequence_len = 75, ratio = 0.91, data.shape = (1991, 5, 75, 15, 3), training_len = 1811
stride = 25, sequence_len = 75, ratio = 0.92, data.shape = (1991, 5, 75, 15, 3), training_len = 1831
stride = 25, sequence_len = 75, ratio = 0.93, data.shape = (1991, 5, 75, 15, 3), training_len = 1851
stride = 25, sequence_len = 75, ratio = 0.94, data.shape = (1991, 5, 75, 15, 3), training_len = 1871
stride = 25, sequence_len = 75, ratio = 0.95, data.shape = (1991, 5, 75, 15, 3), training_len = 1891
stride = 25, sequence_len = 75, ratio = 0.96, data.shape = (1991, 5, 75, 15, 3), training_len = 1911
stride = 25, sequence_len = 75, ratio = 0.97, data.shape = (1991, 5, 75, 15, 3), training_len = 1931
stride = 25, sequence_len = 75, ratio = 0.98, data.shape = (1991, 5, 75, 15, 3), training_len = 1951
stride = 25, sequence_len = 75, ratio = 0.99, data.shape = (1991, 5, 75, 15, 3), training_len = 1971
stride = 50, sequence_len = 50, ratio = 0.2, data.shape = (1478, 5, 50, 15, 3), training_len = 295
stride = 50, sequence_len = 50, ratio = 0.21, data.shape = (1478, 5, 50, 15, 3), training_len = 310
stride = 50, sequence_len = 50, ratio = 0.22, data.shape = (1478, 5, 50, 15, 3), training_len = 325
stride = 50, sequence_len = 50, ratio = 0.23, data.shape = (1478, 5, 50, 15, 3), training_len = 339
stride = 50, sequence_len = 50, ratio = 0.24, data.shape = (1478, 5, 50, 15, 3), training_len = 354
stride = 50, sequence_len = 50, ratio = 0.25, data.shape = (1478, 5, 50, 15, 3), training_len = 369
stride = 50, sequence_len = 50, ratio = 0.26, data.shape = (1478, 5, 50, 15, 3), training_len = 384
stride = 50, sequence_len = 50, ratio = 0.27, data.shape = (1478, 5, 50, 15, 3), training_len = 399
stride = 50, sequence_len = 50, ratio = 0.28, data.shape = (1478, 5, 50, 15, 3), training_len = 413
stride = 50, sequence_len = 50, ratio = 0.29, data.shape = (1478, 5, 50, 15, 3), training_len = 428
stride = 50, sequence_len = 50, ratio = 0.3, data.shape = (1478, 5, 50, 15, 3), training_len = 443
stride = 50, sequence_len = 50, ratio = 0.31, data.shape = (1478, 5, 50, 15, 3), training_len = 458
stride = 50, sequence_len = 50, ratio = 0.32, data.shape = (1478, 5, 50, 15, 3), training_len = 472
stride = 50, sequence_len = 50, ratio = 0.33, data.shape = (1478, 5, 50, 15, 3), training_len = 487
stride = 50, sequence_len = 50, ratio = 0.34, data.shape = (1478, 5, 50, 15, 3), training_len = 502
stride = 50, sequence_len = 50, ratio = 0.35, data.shape = (1478, 5, 50, 15, 3), training_len = 517
stride = 50, sequence_len = 50, ratio = 0.36, data.shape = (1478, 5, 50, 15, 3), training_len = 532
stride = 50, sequence_len = 50, ratio = 0.37, data.shape = (1478, 5, 50, 15, 3), training_len = 546
stride = 50, sequence_len = 50, ratio = 0.38, data.shape = (1478, 5, 50, 15, 3), training_len = 561
stride = 50, sequence_len = 50, ratio = 0.39, data.shape = (1478, 5, 50, 15, 3), training_len = 576
stride = 50, sequence_len = 50, ratio = 0.4, data.shape = (1478, 5, 50, 15, 3), training_len = 591
stride = 50, sequence_len = 50, ratio = 0.41, data.shape = (1478, 5, 50, 15, 3), training_len = 605
stride = 50, sequence_len = 50, ratio = 0.42, data.shape = (1478, 5, 50, 15, 3), training_len = 620
stride = 50, sequence_len = 50, ratio = 0.43, data.shape = (1478, 5, 50, 15, 3), training_len = 635
stride = 50, sequence_len = 50, ratio = 0.44, data.shape = (1478, 5, 50, 15, 3), training_len = 650
stride = 50, sequence_len = 50, ratio = 0.45, data.shape = (1478, 5, 50, 15, 3), training_len = 665
stride = 50, sequence_len = 50, ratio = 0.46, data.shape = (1478, 5, 50, 15, 3), training_len = 679
stride = 50, sequence_len = 50, ratio = 0.47, data.shape = (1478, 5, 50, 15, 3), training_len = 694
stride = 50, sequence_len = 50, ratio = 0.48, data.shape = (1478, 5, 50, 15, 3), training_len = 709
stride = 50, sequence_len = 50, ratio = 0.49, data.shape = (1478, 5, 50, 15, 3), training_len = 724
stride = 50, sequence_len = 50, ratio = 0.5, data.shape = (1478, 5, 50, 15, 3), training_len = 739
stride = 50, sequence_len = 50, ratio = 0.51, data.shape = (1478, 5, 50, 15, 3), training_len = 753
stride = 50, sequence_len = 50, ratio = 0.52, data.shape = (1478, 5, 50, 15, 3), training_len = 768
stride = 50, sequence_len = 50, ratio = 0.53, data.shape = (1478, 5, 50, 15, 3), training_len = 783
stride = 50, sequence_len = 50, ratio = 0.54, data.shape = (1478, 5, 50, 15, 3), training_len = 798
stride = 50, sequence_len = 50, ratio = 0.55, data.shape = (1478, 5, 50, 15, 3), training_len = 812
stride = 50, sequence_len = 50, ratio = 0.56, data.shape = (1478, 5, 50, 15, 3), training_len = 827
stride = 50, sequence_len = 50, ratio = 0.57, data.shape = (1478, 5, 50, 15, 3), training_len = 842
stride = 50, sequence_len = 50, ratio = 0.58, data.shape = (1478, 5, 50, 15, 3), training_len = 857
stride = 50, sequence_len = 50, ratio = 0.59, data.shape = (1478, 5, 50, 15, 3), training_len = 872
stride = 50, sequence_len = 50, ratio = 0.6, data.shape = (1478, 5, 50, 15, 3), training_len = 886
stride = 50, sequence_len = 50, ratio = 0.61, data.shape = (1478, 5, 50, 15, 3), training_len = 901
stride = 50, sequence_len = 50, ratio = 0.62, data.shape = (1478, 5, 50, 15, 3), training_len = 916
stride = 50, sequence_len = 50, ratio = 0.63, data.shape = (1478, 5, 50, 15, 3), training_len = 931
stride = 50, sequence_len = 50, ratio = 0.64, data.shape = (1478, 5, 50, 15, 3), training_len = 945
stride = 50, sequence_len = 50, ratio = 0.65, data.shape = (1478, 5, 50, 15, 3), training_len = 960
stride = 50, sequence_len = 50, ratio = 0.66, data.shape = (1478, 5, 50, 15, 3), training_len = 975
stride = 50, sequence_len = 50, ratio = 0.67, data.shape = (1478, 5, 50, 15, 3), training_len = 990
stride = 50, sequence_len = 50, ratio = 0.68, data.shape = (1478, 5, 50, 15, 3), training_len = 1005
stride = 50, sequence_len = 50, ratio = 0.69, data.shape = (1478, 5, 50, 15, 3), training_len = 1019
stride = 50, sequence_len = 50, ratio = 0.7, data.shape = (1478, 5, 50, 15, 3), training_len = 1034
stride = 50, sequence_len = 50, ratio = 0.71, data.shape = (1478, 5, 50, 15, 3), training_len = 1049
stride = 50, sequence_len = 50, ratio = 0.72, data.shape = (1478, 5, 50, 15, 3), training_len = 1064
stride = 50, sequence_len = 50, ratio = 0.73, data.shape = (1478, 5, 50, 15, 3), training_len = 1078
stride = 50, sequence_len = 50, ratio = 0.74, data.shape = (1478, 5, 50, 15, 3), training_len = 1093
stride = 50, sequence_len = 50, ratio = 0.75, data.shape = (1478, 5, 50, 15, 3), training_len = 1108
stride = 50, sequence_len = 50, ratio = 0.76, data.shape = (1478, 5, 50, 15, 3), training_len = 1123
stride = 50, sequence_len = 50, ratio = 0.77, data.shape = (1478, 5, 50, 15, 3), training_len = 1138
stride = 50, sequence_len = 50, ratio = 0.78, data.shape = (1478, 5, 50, 15, 3), training_len = 1152
stride = 50, sequence_len = 50, ratio = 0.79, data.shape = (1478, 5, 50, 15, 3), training_len = 1167
stride = 50, sequence_len = 50, ratio = 0.8, data.shape = (1478, 5, 50, 15, 3), training_len = 1182
stride = 50, sequence_len = 50, ratio = 0.81, data.shape = (1478, 5, 50, 15, 3), training_len = 1197
stride = 50, sequence_len = 50, ratio = 0.82, data.shape = (1478, 5, 50, 15, 3), training_len = 1211
stride = 50, sequence_len = 50, ratio = 0.83, data.shape = (1478, 5, 50, 15, 3), training_len = 1226
stride = 50, sequence_len = 50, ratio = 0.84, data.shape = (1478, 5, 50, 15, 3), training_len = 1241
stride = 50, sequence_len = 50, ratio = 0.85, data.shape = (1478, 5, 50, 15, 3), training_len = 1256
stride = 50, sequence_len = 50, ratio = 0.86, data.shape = (1478, 5, 50, 15, 3), training_len = 1271
stride = 50, sequence_len = 50, ratio = 0.87, data.shape = (1478, 5, 50, 15, 3), training_len = 1285
stride = 50, sequence_len = 50, ratio = 0.88, data.shape = (1478, 5, 50, 15, 3), training_len = 1300
stride = 50, sequence_len = 50, ratio = 0.89, data.shape = (1478, 5, 50, 15, 3), training_len = 1315
stride = 50, sequence_len = 50, ratio = 0.9, data.shape = (1478, 5, 50, 15, 3), training_len = 1330
stride = 50, sequence_len = 50, ratio = 0.91, data.shape = (1478, 5, 50, 15, 3), training_len = 1344
stride = 50, sequence_len = 50, ratio = 0.92, data.shape = (1478, 5, 50, 15, 3), training_len = 1359
stride = 50, sequence_len = 50, ratio = 0.93, data.shape = (1478, 5, 50, 15, 3), training_len = 1374
stride = 50, sequence_len = 50, ratio = 0.94, data.shape = (1478, 5, 50, 15, 3), training_len = 1389
stride = 50, sequence_len = 50, ratio = 0.95, data.shape = (1478, 5, 50, 15, 3), training_len = 1404
stride = 50, sequence_len = 50, ratio = 0.96, data.shape = (1478, 5, 50, 15, 3), training_len = 1418
stride = 50, sequence_len = 50, ratio = 0.97, data.shape = (1478, 5, 50, 15, 3), training_len = 1433
stride = 50, sequence_len = 50, ratio = 0.98, data.shape = (1478, 5, 50, 15, 3), training_len = 1448
stride = 50, sequence_len = 50, ratio = 0.99, data.shape = (1478, 5, 50, 15, 3), training_len = 1463
stride = 50, sequence_len = 75, ratio = 0.2, data.shape = (1130, 5, 75, 15, 3), training_len = 226
stride = 50, sequence_len = 75, ratio = 0.21, data.shape = (1130, 5, 75, 15, 3), training_len = 237
stride = 50, sequence_len = 75, ratio = 0.22, data.shape = (1130, 5, 75, 15, 3), training_len = 248
stride = 50, sequence_len = 75, ratio = 0.23, data.shape = (1130, 5, 75, 15, 3), training_len = 259
stride = 50, sequence_len = 75, ratio = 0.24, data.shape = (1130, 5, 75, 15, 3), training_len = 271
stride = 50, sequence_len = 75, ratio = 0.25, data.shape = (1130, 5, 75, 15, 3), training_len = 282
stride = 50, sequence_len = 75, ratio = 0.26, data.shape = (1130, 5, 75, 15, 3), training_len = 293
stride = 50, sequence_len = 75, ratio = 0.27, data.shape = (1130, 5, 75, 15, 3), training_len = 305
stride = 50, sequence_len = 75, ratio = 0.28, data.shape = (1130, 5, 75, 15, 3), training_len = 316
stride = 50, sequence_len = 75, ratio = 0.29, data.shape = (1130, 5, 75, 15, 3), training_len = 327
stride = 50, sequence_len = 75, ratio = 0.3, data.shape = (1130, 5, 75, 15, 3), training_len = 339
stride = 50, sequence_len = 75, ratio = 0.31, data.shape = (1130, 5, 75, 15, 3), training_len = 350
stride = 50, sequence_len = 75, ratio = 0.32, data.shape = (1130, 5, 75, 15, 3), training_len = 361
stride = 50, sequence_len = 75, ratio = 0.33, data.shape = (1130, 5, 75, 15, 3), training_len = 372
stride = 50, sequence_len = 75, ratio = 0.34, data.shape = (1130, 5, 75, 15, 3), training_len = 384
stride = 50, sequence_len = 75, ratio = 0.35, data.shape = (1130, 5, 75, 15, 3), training_len = 395
stride = 50, sequence_len = 75, ratio = 0.36, data.shape = (1130, 5, 75, 15, 3), training_len = 406
stride = 50, sequence_len = 75, ratio = 0.37, data.shape = (1130, 5, 75, 15, 3), training_len = 418
stride = 50, sequence_len = 75, ratio = 0.38, data.shape = (1130, 5, 75, 15, 3), training_len = 429
stride = 50, sequence_len = 75, ratio = 0.39, data.shape = (1130, 5, 75, 15, 3), training_len = 440
stride = 50, sequence_len = 75, ratio = 0.4, data.shape = (1130, 5, 75, 15, 3), training_len = 452
stride = 50, sequence_len = 75, ratio = 0.41, data.shape = (1130, 5, 75, 15, 3), training_len = 463
stride = 50, sequence_len = 75, ratio = 0.42, data.shape = (1130, 5, 75, 15, 3), training_len = 474
stride = 50, sequence_len = 75, ratio = 0.43, data.shape = (1130, 5, 75, 15, 3), training_len = 485
stride = 50, sequence_len = 75, ratio = 0.44, data.shape = (1130, 5, 75, 15, 3), training_len = 497
